original,more_generic,robot,graphs,base
uuids,classification_uuid,ID,classified_results,
types,type,TYPE,classified_results,
source_med_types,source_med_type,TYPE,source_meds,
FK_MEDICATION_ID,source_med_id,AI mydata:source_id_uri,source_meds;classified_results,http://example.com/resource/source_med_id/
FULL_NAME,source_full_name,A mydata:source_full_name,source_meds,
GENERIC_NAME,source_generic_name,A mydata:source_generic_name,source_meds,
RXNORM,source_rxcui,AI mydata:source_rxcui,source_meds,http://purl.bioontology.org/ontology/RXNORM/
EMPI_COUNT,source_count,AT mydata:source_count^^xsd:int,source_meds,
pds.rxn.annotated,source_has_rxcui,AT mydata:source_has_rxcui^^xsd:boolean,source_meds,
normalized,source_normalized_full_name,A mydata:source_normalized_full_name,source_meds,
query.source,query_source,AI mydata:query_source,classified_results,http://example.com/resource/query_source/
query.val,query_val,A mydata:query_val,classified_results,
rxcui,match_rxcui,AI mydata:match_rxcui,classified_results,http://purl.bioontology.org/ontology/RXNORM/
rxaui,match_rxaui,A mydata:match_rxaui,classified_results,
score,match_score,AT mydata:match_score^^xsd:float,classified_results,
rank,match_rank,AT mydata:match_rank^^xsd:float,classified_results,
STR,match_string,A mydata:match_string,classified_results,
SAB.sr,match_sab,AI mydata:match_sab,classified_results,http://example.com/resource/RXNORM_SAB/
TTY.sr,match_tty,AI mydata:match_tty,classified_results,http://example.com/resource/RXNORM_TTY/
rxaui.freq,rxaui_freq,AT mydata:rxaui_freq^^xsd:float,classified_results,
rxcui.freq,rxcui_freq,AT mydata:rxcui_freq^^xsd:float,classified_results,
q.char,query_chars,AT mydata:query_chars^^xsd:int,classified_results,
q.words,query_words,AT mydata:query_words^^xsd:int,classified_results,
sr.char,match_chars,AT mydata:match_chars^^xsd:int,classified_results,
sr.words,match_words,AT mydata:match_words^^xsd:int,classified_results,
cosine,sd_cosine,AT mydata:sd_cosine^^xsd:float,classified_results,
jaccard,sd_jaccard,AT mydata:sd_jaccard^^xsd:float,classified_results,
jw,sd_jw,AT mydata:sd_jw^^xsd:float,classified_results,
lcs,sd_lcs,AT mydata:sd_lcs^^xsd:float,classified_results,
lv,sd_lv,AT mydata:sd_lv^^xsd:float,classified_results,
qgram,sd_qgram,AT mydata:sd_qgram^^xsd:float,classified_results,
rf_responses,rf_classification,AI mydata:rf_classification,classified_results,http://example.com/resource/search_res_classification/
consists_of,prob_consists_of,AT mydata:prob_consists_of^^xsd:float,classified_results,
constitutes,prob_constitutes,AT mydata:prob_constitutes^^xsd:float,classified_results,
contained_in,prob_contained_in,AT mydata:prob_contained_in^^xsd:float,classified_results,
contains,prob_contains,AT mydata:prob_contains^^xsd:float,classified_results,
form_of,prob_form_of,AT mydata:prob_form_of^^xsd:float,classified_results,
has_form,prob_has_form,AT mydata:prob_has_form^^xsd:float,classified_results,
has_ingredient,prob_has_ingredient,AT mydata:prob_has_ingredient^^xsd:float,classified_results,
has_part,prob_has_part,AT mydata:prob_has_part^^xsd:float,classified_results,
has_quantified_form,prob_has_quantified_form,AT mydata:prob_has_quantified_form^^xsd:float,classified_results,
has_tradename,prob_has_tradename,AT mydata:prob_has_tradename^^xsd:float,classified_results,
identical,prob_identical,AT mydata:prob_identical^^xsd:float,classified_results,
ingredient_of,prob_ingredient_of,AT mydata:prob_ingredient_of^^xsd:float,classified_results,
inverse_isa,prob_inverse_isa,AT mydata:prob_inverse_isa^^xsd:float,classified_results,
isa,prob_isa,AT mydata:prob_isa^^xsd:float,classified_results,
more distant,prob_more_distant,AT mydata:prob_more_distant^^xsd:float,classified_results,
part_of,prob_part_of,AT mydata:prob_part_of^^xsd:float,classified_results,
quantified_form_of,prob_quantified_form_of,AT mydata:prob_quantified_form_of^^xsd:float,classified_results,
tradename_of,prob_tradename_of,AT mydata:prob_tradename_of^^xsd:float,classified_results,
override,final_classification,AI mydata:override_classification,classified_results,http://example.com/resource/search_res_classification/
